"id","host_id","host_since","host_is_superhost","host_listings_count","property_type","room_type","price","last_review","number_of_reviews","availability_30","review_scores_rating","City"
44524566,338443101,2020-02-24,0,0,"Entire apartment","Entire home/apt",30,2020-10-19,14,26,97,"Paris"
27719285,20747043,2014-08-31,0,1,"Entire apartment","Entire home/apt",55,2020-02-24,15,0,93,"Paris"
12298102,66299759,2016-04-08,0,2,"Entire apartment","Entire home/apt",139,2020-01-20,132,0,90,"Paris"
36410607,139381769,2017-07-09,0,3,"Entire apartment","Entire home/apt",77,2020-10-30,18,27,97,"Paris"
40368907,306912684,2019-11-04,0,2,"Entire apartment","Entire home/apt",119,2020-08-05,3,5,87,"Paris"
37144433,279396676,2019-07-26,0,1,"Entire apartment","Entire home/apt",94,2020-03-08,5,0,88,"Paris"
42086968,26810171,2015-01-27,0,21,"Entire apartment","Entire home/apt",47,2020-10-17,2,30,100,"Paris"
31346002,14241979,2014-04-13,1,1,"Entire apartment","Entire home/apt",90,2019-10-28,9,0,96,"Paris"
37249155,37598544,2015-07-05,0,1,"Entire apartment","Entire home/apt",120,2019-11-15,3,0,100,"Paris"
33443091,251944265,2019-03-29,0,1,"Entire apartment","Entire home/apt",59,2019-06-11,3,0,100,"Paris"
24574634,185683554,2018-04-22,1,1,"Entire apartment","Entire home/apt",44,2020-10-14,31,0,98,"Paris"
11931619,10864321,2013-12-28,0,1,"Entire apartment","Entire home/apt",90,2019-12-08,38,0,97,"Paris"
39436777,302912750,2019-10-17,0,0,"Entire apartment","Entire home/apt",69,2020-10-11,17,10,92,"Paris"
5374238,12359119,2014-02-18,0,1,"Entire apartment","Entire home/apt",65,2019-04-25,13,0,94,"Paris"
17081025,114613707,2017-02-03,0,1,"Entire apartment","Entire home/apt",150,2019-08-18,17,0,99,"Paris"
38460781,39413484,2015-07-24,1,10,"Entire apartment","Entire home/apt",180,2020-08-23,43,0,98,"Paris"
21221984,482401,2011-04-04,1,1,"Entire apartment","Entire home/apt",90,2020-10-21,32,30,98,"Paris"
15404233,7997139,2013-08-07,0,1,"Entire loft","Entire home/apt",90,2019-07-28,7,0,100,"Paris"
10480504,22919642,2014-10-24,1,8,"Entire apartment","Entire home/apt",1250,2020-08-27,25,30,100,"Paris"
19710966,57859819,2016-02-08,0,1,"Entire apartment","Entire home/apt",79,2019-10-16,8,0,90,"Paris"
17692832,54340874,2016-01-12,0,1,"Entire apartment","Entire home/apt",80,2019-12-09,13,29,95,"Paris"
40126043,42894606,2015-08-30,0,2,"Entire apartment","Entire home/apt",40,2020-06-21,1,0,100,"Paris"
21643039,17302019,2014-06-26,0,1,"Private room in apartment","Private room",35,2019-05-13,5,0,100,"Paris"
43977250,234781689,2019-01-06,0,0,"Entire apartment","Entire home/apt",71,2020-08-31,3,30,87,"Paris"
18666226,129724093,2017-05-10,0,1,"Entire apartment","Entire home/apt",220,2019-08-17,21,28,95,"Paris"
34216676,34316595,2015-05-26,1,1,"Entire apartment","Entire home/apt",50,2020-07-12,10,0,98,"Paris"
37274044,77082727,2016-06-11,0,0,"Entire condominium","Entire home/apt",60,2019-10-06,4,0,100,"Paris"
29715899,83408950,2016-07-12,0,2,"Entire apartment","Entire home/apt",50,2020-10-24,40,4,95,"Paris"
37827103,158141153,2017-11-10,1,0,"Entire apartment","Entire home/apt",118,2020-01-01,9,13,98,"Paris"
34105290,257527592,2019-04-23,0,0,"Entire apartment","Entire home/apt",44,2020-07-04,10,6,82,"Paris"
